,pos,row,col,grid_area,geometry
0,9_29,9,29,1000000.0,"POLYGON ((-1647327.704565505 510097.5045573012, -1646327.704565505 510097.5045572995, -1646327.704565505 509097.5045573003, -1647327.704565505 509097.5045572996, -1647327.704565505 510097.5045573012))"
1,10_29,10,29,1000000.0,"POLYGON ((-1646327.704565505 510097.5045572995, -1645327.704565505 510097.5045573011, -1645327.704565505 509097.5045573011, -1646327.704565505 509097.5045573003, -1646327.704565505 510097.5045572995))"
2,11_29,11,29,1000000.0,"POLYGON ((-1645327.704565505 510097.5045573011, -1644327.704565504 510097.5045573007, -1644327.704565504 509097.5045573013, -1645327.704565505 509097.5045573011, -1645327.704565505 510097.5045573011))"
3,12_29,12,29,1000000.0,"POLYGON ((-1644327.704565504 510097.5045573007, -1643327.704565505 510097.5045573, -1643327.704565506 509097.5045573004, -1644327.704565504 509097.5045573013, -1644327.704565504 510097.5045573007))"
4,12_30,12,30,1000000.0,"POLYGON ((-1644327.704565504 509097.5045573013, -1643327.704565506 509097.5045573004, -1643327.704565505 508097.5045573016, -1644327.704565504 508097.5045572997, -1644327.704565504 509097.5045573013))"
5,11_30,11,30,1000000.0,"POLYGON ((-1645327.704565505 509097.5045573011, -1644327.704565504 509097.5045573013, -1644327.704565504 508097.5045572997, -1645327.704565504 508097.5045572994, -1645327.704565505 509097.5045573011))"
6,10_30,10,30,1000000.0,"POLYGON ((-1646327.704565505 509097.5045573003, -1645327.704565505 509097.5045573011, -1645327.704565504 508097.5045572994, -1646327.704565505 508097.5045573007, -1646327.704565505 509097.5045573003))"
7,11_28,11,28,1000000.0,"POLYGON ((-1645327.704565506 511097.5045573001, -1644327.704565505 511097.5045573013, -1644327.704565504 510097.5045573007, -1645327.704565505 510097.5045573011, -1645327.704565506 511097.5045573001))"
8,10_28,10,28,1000000.0,"POLYGON ((-1646327.704565505 511097.5045573013, -1645327.704565506 511097.5045573001, -1645327.704565505 510097.5045573011, -1646327.704565505 510097.5045572995, -1646327.704565505 511097.5045573013))"
9,12_28,12,28,1000000.0,"POLYGON ((-1644327.704565505 511097.5045573013, -1643327.704565505 511097.5045573004, -1643327.704565505 510097.5045573, -1644327.704565504 510097.5045573007, -1644327.704565505 511097.5045573013))"
10,10_27,10,27,1000000.0,"POLYGON ((-1646327.704565505 512097.5045573001, -1645327.704565505 512097.5045573001, -1645327.704565506 511097.5045573001, -1646327.704565505 511097.5045573013, -1646327.704565505 512097.5045573001))"
11,9_28,9,28,1000000.0,"POLYGON ((-1647327.704565504 511097.5045573, -1646327.704565505 511097.5045573013, -1646327.704565505 510097.5045572995, -1647327.704565505 510097.5045573012, -1647327.704565504 511097.5045573))"
12,12_27,12,27,1000000.0,"POLYGON ((-1644327.704565505 512097.5045573001, -1643327.704565505 512097.5045573, -1643327.704565505 511097.5045573004, -1644327.704565505 511097.5045573013, -1644327.704565505 512097.5045573001))"
13,13_28,13,28,1000000.0,"POLYGON ((-1643327.704565505 511097.5045573004, -1642327.704565504 511097.5045573002, -1642327.704565505 510097.5045573007, -1643327.704565505 510097.5045573, -1643327.704565505 511097.5045573004))"
14,13_27,13,27,1000000.0,"POLYGON ((-1643327.704565505 512097.5045573, -1642327.704565505 512097.5045573006, -1642327.704565504 511097.5045573002, -1643327.704565505 511097.5045573004, -1643327.704565505 512097.5045573))"
15,6_28,6,28,1000000.0,"POLYGON ((-1650327.704565505 511097.5045573003, -1649327.704565505 511097.504557301, -1649327.704565505 510097.5045573011, -1650327.704565505 510097.5045573013, -1650327.704565505 511097.5045573003))"
16,6_27,6,27,1000000.0,"POLYGON ((-1650327.704565505 512097.5045572991, -1649327.704565505 512097.5045573, -1649327.704565505 511097.504557301, -1650327.704565505 511097.5045573003, -1650327.704565505 512097.5045572991))"
17,11_27,11,27,1000000.0,"POLYGON ((-1645327.704565505 512097.5045573001, -1644327.704565505 512097.5045573001, -1644327.704565505 511097.5045573013, -1645327.704565506 511097.5045573001, -1645327.704565505 512097.5045573001))"
18,8_28,8,28,1000000.0,"POLYGON ((-1648327.704565505 511097.5045573007, -1647327.704565504 511097.5045573, -1647327.704565505 510097.5045573012, -1648327.704565506 510097.5045573005, -1648327.704565505 511097.5045573007))"
19,8_27,8,27,1000000.0,"POLYGON ((-1648327.704565505 512097.5045573002, -1647327.704565504 512097.5045573007, -1647327.704565504 511097.5045573, -1648327.704565505 511097.5045573007, -1648327.704565505 512097.5045573002))"
20,9_27,9,27,1000000.0,"POLYGON ((-1647327.704565504 512097.5045573007, -1646327.704565505 512097.5045573001, -1646327.704565505 511097.5045573013, -1647327.704565504 511097.5045573, -1647327.704565504 512097.5045573007))"
21,13_29,13,29,1000000.0,"POLYGON ((-1643327.704565505 510097.5045573, -1642327.704565505 510097.5045573007, -1642327.704565505 509097.5045573006, -1643327.704565506 509097.5045573004, -1643327.704565505 510097.5045573))"
22,1_24,1,24,1000000.0,"POLYGON ((-1655327.704565505 515097.5045573006, -1654327.704565505 515097.5045573009, -1654327.704565505 514097.5045573002, -1655327.704565505 514097.5045573003, -1655327.704565505 515097.5045573006))"
23,1_25,1,25,1000000.0,"POLYGON ((-1655327.704565505 514097.5045573003, -1654327.704565505 514097.5045573002, -1654327.704565505 513097.5045573003, -1655327.704565504 513097.5045572995, -1655327.704565505 514097.5045573003))"
24,3_25,3,25,1000000.0,"POLYGON ((-1653327.704565505 514097.5045573008, -1652327.704565505 514097.5045572991, -1652327.704565505 513097.5045573011, -1653327.704565504 513097.5045573003, -1653327.704565505 514097.5045573008))"
25,3_24,3,24,1000000.0,"POLYGON ((-1653327.704565505 515097.5045572999, -1652327.704565505 515097.5045573012, -1652327.704565505 514097.5045572991, -1653327.704565505 514097.5045573008, -1653327.704565505 515097.5045572999))"
26,12_25,12,25,1000000.0,"POLYGON ((-1644327.704565505 514097.5045573012, -1643327.704565505 514097.5045573015, -1643327.704565505 513097.5045573012, -1644327.704565505 513097.5045573003, -1644327.704565505 514097.5045573012))"
27,12_24,12,24,1000000.0,"POLYGON ((-1644327.704565505 515097.5045573002, -1643327.704565505 515097.5045573, -1643327.704565505 514097.5045573015, -1644327.704565505 514097.5045573012, -1644327.704565505 515097.5045573002))"
28,13_25,13,25,1000000.0,"POLYGON ((-1643327.704565505 514097.5045573015, -1642327.704565505 514097.5045573002, -1642327.704565505 513097.5045573012, -1643327.704565505 513097.5045573012, -1643327.704565505 514097.5045573015))"
29,2_25,2,25,1000000.0,"POLYGON ((-1654327.704565505 514097.5045573002, -1653327.704565505 514097.5045573008, -1653327.704565504 513097.5045573003, -1654327.704565505 513097.5045573003, -1654327.704565505 514097.5045573002))"
30,10_25,10,25,1000000.0,"POLYGON ((-1646327.704565505 514097.5045572999, -1645327.704565505 514097.5045573009, -1645327.704565505 513097.5045573013, -1646327.704565505 513097.5045573004, -1646327.704565505 514097.5045572999))"
31,11_25,11,25,1000000.0,"POLYGON ((-1645327.704565505 514097.5045573009, -1644327.704565505 514097.5045573012, -1644327.704565505 513097.5045573003, -1645327.704565505 513097.5045573013, -1645327.704565505 514097.5045573009))"
32,4_25,4,25,1000000.0,"POLYGON ((-1652327.704565505 514097.5045572991, -1651327.704565505 514097.5045573008, -1651327.704565506 513097.5045573012, -1652327.704565505 513097.5045573011, -1652327.704565505 514097.5045572991))"
33,11_24,11,24,1000000.0,"POLYGON ((-1645327.704565506 515097.5045573009, -1644327.704565505 515097.5045573002, -1644327.704565505 514097.5045573012, -1645327.704565505 514097.5045573009, -1645327.704565506 515097.5045573009))"
34,13_24,13,24,1000000.0,"POLYGON ((-1643327.704565505 515097.5045573, -1642327.704565505 515097.5045573005, -1642327.704565505 514097.5045573002, -1643327.704565505 514097.5045573015, -1643327.704565505 515097.5045573))"
35,8_25,8,25,1000000.0,"POLYGON ((-1648327.704565504 514097.5045573004, -1647327.704565504 514097.5045573004, -1647327.704565505 513097.5045573001, -1648327.704565505 513097.5045573005, -1648327.704565504 514097.5045573004))"
36,8_24,8,24,1000000.0,"POLYGON ((-1648327.704565506 515097.5045572985, -1647327.704565505 515097.5045573004, -1647327.704565504 514097.5045573004, -1648327.704565504 514097.5045573004, -1648327.704565506 515097.5045572985))"
37,9_25,9,25,1000000.0,"POLYGON ((-1647327.704565504 514097.5045573004, -1646327.704565505 514097.5045572999, -1646327.704565505 513097.5045573004, -1647327.704565505 513097.5045573001, -1647327.704565504 514097.5045573004))"
38,7_25,7,25,1000000.0,"POLYGON ((-1649327.704565505 514097.5045572995, -1648327.704565504 514097.5045573004, -1648327.704565505 513097.5045573005, -1649327.704565506 513097.5045573019, -1649327.704565505 514097.5045572995))"
