,pos,count
11_9,11_9,1.0
10_26,10_26,1.0
12_5,12_5,2.0
12_6,12_6,2.0
10_22,10_22,3.0
12_8,12_8,1.0
8_11,8_11,3.0
8_12,8_12,1.0
10_15,10_15,3.0
13_5,13_5,1.0
8_15,8_15,2.0
8_16,8_16,9.0
8_17,8_17,3.0
14_11,14_11,1.0
10_7,10_7,1.0
7_9,7_9,5.0
7_8,7_8,1.0
16_10,16_10,1.0
11_8,11_8,1.0
14_10,14_10,1.0
11_6,11_6,1.0
7_5,7_5,1.0
11_3,11_3,1.0
7_19,7_19,2.0
12_13,12_13,1.0
6_12,6_12,1.0
6_13,6_13,1.0
9_8,9_8,1.0
9_7,9_7,3.0
7_15,7_15,1.0
7_14,7_14,2.0
6_18,6_18,1.0
6_19,6_19,1.0
8_23,8_23,2.0
15_5,15_5,1.0
12_9,12_9,2.0
11_24,11_24,2.0
9_22,9_22,1.0
9_20,9_20,1.0
2_18,2_18,1.0
10_18,10_18,1.0
4_20,4_20,1.0
11_20,11_20,1.0
6_8,6_8,1.0
10_16,10_16,2.0
10_10,10_10,3.0
10_13,10_13,1.0
12_18,12_18,1.0
3_20,3_20,3.0
3_22,3_22,2.0
11_12,11_12,1.0
10_3,10_3,1.0
14_5,14_5,1.0
12_10,12_10,4.0
12_11,12_11,1.0
8_6,8_6,1.0
7_22,7_22,1.0
6_20,6_20,1.0
7_24,7_24,1.0
7_25,7_25,1.0
5_11,5_11,2.0
3_25,3_25,1.0
9_12,9_12,1.0
9_11,9_11,2.0
9_17,9_17,3.0
9_16,9_16,1.0
9_15,9_15,3.0
9_14,9_14,1.0
12_12,12_12,1.0
4_18,4_18,2.0
11_11,11_11,2.0
11_10,11_10,1.0
11_16,11_16,2.0
11_15,11_15,1.0
13_11,13_11,3.0
