,pos,count
13_11,13_11,10.0
13_10,13_10,3.0
3_19,3_19,1.0
3_18,3_18,1.0
12_13,12_13,3.0
6_13,6_13,2.0
6_10,6_10,4.0
6_11,6_11,1.0
6_18,6_18,1.0
5_7,5_7,1.0
5_9,5_9,1.0
12_11,12_11,27.0
11_25,11_25,1.0
11_22,11_22,1.0
11_23,11_23,3.0
11_19,11_19,1.0
9_21,9_21,1.0
12_16,12_16,2.0
13_14,13_14,5.0
8_18,8_18,7.0
10_24,10_24,8.0
10_27,10_27,1.0
10_26,10_26,4.0
10_21,10_21,2.0
16_10,16_10,1.0
10_23,10_23,7.0
10_22,10_22,7.0
8_10,8_10,7.0
8_11,8_11,8.0
8_12,8_12,7.0
8_13,8_13,1.0
8_14,8_14,17.0
8_15,8_15,72.0
8_16,8_16,109.0
8_17,8_17,43.0
8_6,8_6,6.0
8_7,8_7,3.0
4_18,4_18,13.0
4_19,4_19,1.0
4_17,4_17,1.0
8_8,8_8,6.0
8_9,8_9,2.0
7_19,7_19,6.0
9_9,9_9,2.0
9_8,9_8,5.0
9_7,9_7,10.0
7_10,7_10,1.0
7_13,7_13,5.0
7_12,7_12,2.0
7_15,7_15,22.0
7_14,7_14,18.0
5_11,5_11,3.0
5_10,5_10,2.0
5_19,5_19,2.0
11_18,11_18,2.0
13_9,13_9,4.0
10_25,10_25,4.0
8_19,8_19,4.0
13_5,13_5,7.0
13_6,13_6,1.0
11_9,11_9,3.0
11_8,11_8,7.0
11_7,11_7,1.0
11_6,11_6,3.0
11_5,11_5,3.0
11_4,11_4,1.0
11_3,11_3,7.0
11_2,11_2,5.0
10_20,10_20,6.0
5_22,5_22,3.0
5_20,5_20,1.0
5_21,5_21,4.0
5_26,5_26,1.0
5_24,5_24,1.0
15_6,15_6,1.0
15_5,15_5,5.0
2_26,2_26,1.0
4_25,4_25,3.0
4_24,4_24,2.0
14_8,14_8,2.0
14_9,14_9,2.0
10_18,10_18,6.0
4_20,4_20,6.0
4_23,4_23,1.0
10_14,10_14,5.0
14_3,14_3,3.0
10_16,10_16,32.0
10_17,10_17,7.0
14_6,14_6,1.0
10_11,10_11,2.0
10_12,10_12,2.0
14_5,14_5,1.0
3_24,3_24,1.0
3_25,3_25,3.0
3_20,3_20,14.0
3_21,3_21,1.0
3_22,3_22,6.0
3_23,3_23,1.0
9_13,9_13,5.0
9_12,9_12,2.0
9_11,9_11,13.0
9_10,9_10,5.0
9_17,9_17,27.0
9_16,9_16,36.0
9_15,9_15,30.0
9_14,9_14,13.0
9_19,9_19,10.0
9_18,9_18,1.0
6_6,6_6,2.0
12_3,12_3,2.0
12_4,12_4,1.0
12_5,12_5,7.0
12_6,12_6,2.0
12_7,12_7,6.0
12_8,12_8,5.0
12_9,12_9,9.0
2_25,2_25,1.0
2_24,2_24,1.0
6_8,6_8,10.0
2_21,2_21,1.0
10_6,10_6,2.0
10_7,10_7,11.0
10_4,10_4,3.0
10_5,10_5,4.0
7_9,7_9,29.0
7_8,7_8,14.0
14_10,14_10,1.0
14_11,14_11,1.0
7_6,7_6,1.0
10_8,10_8,5.0
10_19,10_19,4.0
16_9,16_9,1.0
8_21,8_21,3.0
8_20,8_20,8.0
8_23,8_23,2.0
8_22,8_22,4.0
8_24,8_24,1.0
10_15,10_15,24.0
11_27,11_27,1.0
11_24,11_24,1.0
9_25,9_25,1.0
9_22,9_22,2.0
9_23,9_23,1.0
9_20,9_20,4.0
9_5,9_5,2.0
2_18,2_18,10.0
10_10,10_10,14.0
2_17,2_17,3.0
6_22,6_22,2.0
10_13,10_13,7.0
12_10,12_10,12.0
7_21,7_21,6.0
7_22,7_22,3.0
7_23,7_23,8.0
7_24,7_24,4.0
7_25,7_25,1.0
7_26,7_26,1.0
6_27,6_27,1.0
12_17,12_17,1.0
7_11,7_11,2.0
12_18,12_18,2.0
6_28,6_28,1.0
11_15,11_15,3.0
11_12,11_12,1.0
11_11,11_11,23.0
11_10,11_10,7.0
11_17,11_17,7.0
11_16,11_16,7.0
6_25,6_25,2.0
12_15,12_15,5.0
