,pos,count
8_18,8_18,1.0
10_24,10_24,2.0
10_20,10_20,2.0
10_22,10_22,2.0
13_5,13_5,1.0
8_15,8_15,7.0
8_16,8_16,14.0
8_17,8_17,7.0
10_7,10_7,1.0
7_8,7_8,1.0
15_10,15_10,1.0
11_6,11_6,2.0
11_4,11_4,2.0
11_3,11_3,2.0
8_9,8_9,3.0
5_22,5_22,1.0
5_20,5_20,1.0
6_12,6_12,2.0
9_7,9_7,1.0
16_9,16_9,1.0
7_15,7_15,1.0
7_14,7_14,1.0
15_5,15_5,1.0
8_19,8_19,2.0
11_23,11_23,2.0
4_25,4_25,1.0
14_9,14_9,1.0
10_15,10_15,1.0
10_17,10_17,2.0
10_10,10_10,1.0
14_5,14_5,2.0
3_24,3_24,1.0
3_20,3_20,2.0
6_21,6_21,1.0
7_22,7_22,1.0
5_11,5_11,1.0
9_17,9_17,14.0
9_16,9_16,4.0
11_11,11_11,1.0
11_16,11_16,1.0
