,pos,count
12_5,12_5,1.0
12_6,12_6,3.0
10_22,10_22,1.0
12_8,12_8,1.0
8_12,8_12,1.0
8_15,8_15,3.0
8_16,8_16,1.0
13_11,13_11,2.0
7_9,7_9,4.0
7_8,7_8,1.0
11_9,11_9,1.0
14_11,14_11,2.0
11_5,11_5,3.0
11_4,11_4,1.0
10_19,10_19,1.0
15_5,15_5,1.0
11_24,11_24,1.0
11_23,11_23,1.0
9_20,9_20,1.0
9_21,9_21,1.0
4_20,4_20,1.0
4_23,4_23,2.0
10_15,10_15,1.0
10_16,10_16,2.0
10_17,10_17,5.0
5_11,5_11,1.0
9_17,9_17,3.0
9_16,9_16,15.0
9_15,9_15,1.0
9_14,9_14,2.0
12_12,12_12,1.0
11_11,11_11,1.0
9_18,9_18,2.0
11_15,11_15,1.0
4_19,4_19,1.0
