,pos,count
8_18,8_18,1.0
10_27,10_27,1.0
6_7,6_7,1.0
12_6,12_6,1.0
10_22,10_22,1.0
8_14,8_14,1.0
8_15,8_15,1.0
8_16,8_16,4.0
8_17,8_17,1.0
4_18,4_18,1.0
7_8,7_8,1.0
11_8,11_8,1.0
5_21,5_21,1.0
9_7,9_7,1.0
7_13,7_13,1.0
7_15,7_15,1.0
7_14,7_14,1.0
4_8,4_8,2.0
9_24,9_24,1.0
9_20,9_20,1.0
14_9,14_9,1.0
10_19,10_19,1.0
10_14,10_14,1.0
10_15,10_15,1.0
10_17,10_17,1.0
10_10,10_10,1.0
14_5,14_5,1.0
3_24,3_24,1.0
3_22,3_22,1.0
12_11,12_11,1.0
7_25,7_25,1.0
5_11,5_11,1.0
9_18,9_18,1.0
9_11,9_11,1.0
9_17,9_17,1.0
9_16,9_16,1.0
9_14,9_14,1.0
12_13,12_13,1.0
11_11,11_11,1.0
11_10,11_10,1.0
12_16,12_16,1.0
10_3,10_3,1.0
