,pos,count
9_4,9_4,1.0
13_8,13_8,2.0
13_10,13_10,1.0
13_12,13_12,1.0
13_15,13_15,2.0
3_18,3_18,2.0
13_16,13_16,1.0
3_17,3_17,2.0
3_11,3_11,1.0
12_25,12_25,1.0
6_12,6_12,3.0
6_13,6_13,1.0
6_10,6_10,1.0
6_11,6_11,4.0
14_12,14_12,3.0
6_19,6_19,1.0
4_9,4_9,1.0
5_9,5_9,3.0
5_8,5_8,2.0
12_10,12_10,6.0
9_27,9_27,1.0
9_24,9_24,2.0
12_11,12_11,1.0
11_22,11_22,1.0
11_23,11_23,1.0
11_19,11_19,3.0
11_20,11_20,2.0
3_19,3_19,1.0
9_21,9_21,4.0
13_14,13_14,4.0
8_18,8_18,2.0
10_24,10_24,2.0
10_27,10_27,1.0
10_26,10_26,2.0
10_21,10_21,3.0
11_9,11_9,2.0
10_23,10_23,1.0
10_22,10_22,3.0
8_10,8_10,2.0
8_11,8_11,3.0
8_12,8_12,4.0
16_11,16_11,1.0
8_14,8_14,6.0
8_15,8_15,7.0
8_16,8_16,8.0
8_17,8_17,7.0
8_6,8_6,3.0
8_5,8_5,2.0
4_18,4_18,4.0
4_17,4_17,3.0
4_10,4_10,2.0
4_11,4_11,3.0
8_8,8_8,1.0
8_9,8_9,4.0
7_18,7_18,1.0
15_11,15_11,1.0
9_9,9_9,2.0
9_7,9_7,1.0
9_6,9_6,2.0
7_13,7_13,7.0
7_12,7_12,4.0
7_15,7_15,3.0
7_14,7_14,8.0
12_14,12_14,1.0
15_10,15_10,1.0
12_23,12_23,1.0
12_22,12_22,1.0
5_17,5_17,1.0
5_13,5_13,1.0
5_12,5_12,6.0
5_11,5_11,5.0
10_18,10_18,5.0
5_18,5_18,1.0
1_18,1_18,2.0
11_18,11_18,2.0
13_9,13_9,2.0
10_25,10_25,1.0
13_3,13_3,1.0
13_5,13_5,1.0
13_4,13_4,1.0
13_7,13_7,1.0
13_6,13_6,3.0
6_7,6_7,1.0
16_10,16_10,1.0
11_8,11_8,2.0
11_6,11_6,1.0
11_5,11_5,1.0
12_28,12_28,1.0
11_3,11_3,2.0
11_2,11_2,1.0
10_20,10_20,4.0
5_22,5_22,3.0
5_23,5_23,1.0
5_20,5_20,3.0
5_21,5_21,3.0
5_24,5_24,1.0
5_25,5_25,1.0
2_27,2_27,1.0
15_5,15_5,2.0
15_4,15_4,2.0
15_8,15_8,3.0
10_28,10_28,1.0
14_8,14_8,1.0
8_13,8_13,11.0
4_21,4_21,3.0
4_20,4_20,6.0
4_22,4_22,1.0
10_14,10_14,7.0
10_15,10_15,3.0
10_16,10_16,3.0
10_17,10_17,4.0
14_6,14_6,3.0
14_7,14_7,1.0
10_12,10_12,6.0
14_5,14_5,3.0
3_24,3_24,2.0
12_18,12_18,1.0
3_20,3_20,1.0
3_21,3_21,1.0
3_22,3_22,1.0
3_23,3_23,4.0
9_12,9_12,2.0
9_11,9_11,3.0
9_17,9_17,7.0
9_16,9_16,7.0
9_15,9_15,4.0
9_14,9_14,3.0
10_2,10_2,1.0
9_19,9_19,1.0
9_18,9_18,7.0
11_10,11_10,2.0
2_26,2_26,1.0
6_6,6_6,2.0
12_3,12_3,2.0
12_4,12_4,1.0
12_6,12_6,3.0
12_8,12_8,3.0
12_9,12_9,1.0
2_25,2_25,1.0
2_24,2_24,2.0
6_8,6_8,4.0
2_22,2_22,2.0
10_7,10_7,1.0
10_4,10_4,2.0
14_9,14_9,1.0
7_9,7_9,3.0
7_8,7_8,2.0
14_10,14_10,1.0
14_11,14_11,1.0
7_5,7_5,1.0
7_7,7_7,3.0
10_8,10_8,1.0
10_19,10_19,9.0
16_5,16_5,1.0
16_9,16_9,1.0
1_25,1_25,1.0
8_23,8_23,1.0
8_22,8_22,2.0
11_28,11_28,2.0
11_29,11_29,1.0
11_26,11_26,2.0
11_27,11_27,4.0
11_24,11_24,1.0
10_9,10_9,4.0
9_22,9_22,1.0
9_23,9_23,1.0
9_20,9_20,3.0
11_21,11_21,6.0
2_18,2_18,4.0
2_19,2_19,4.0
10_10,10_10,3.0
10_11,10_11,1.0
11_13,11_13,3.0
12_13,12_13,4.0
2_23,2_23,1.0
10_13,10_13,4.0
11_11,11_11,4.0
7_22,7_22,1.0
7_23,7_23,1.0
7_25,7_25,3.0
3_25,3_25,1.0
12_17,12_17,4.0
12_16,12_16,9.0
1_23,1_23,1.0
11_16,11_16,3.0
1_26,1_26,1.0
1_24,1_24,1.0
6_28,6_28,1.0
11_15,11_15,4.0
11_14,11_14,2.0
12_12,12_12,1.0
11_12,11_12,2.0
6_21,6_21,3.0
6_20,6_20,2.0
11_17,11_17,6.0
6_26,6_26,1.0
6_25,6_25,2.0
12_15,12_15,3.0
