,pos,count
13_10,13_10,2.0
3_19,3_19,2.0
13_14,13_14,1.0
6_10,6_10,1.0
9_24,9_24,1.0
11_23,11_23,1.0
12_16,12_16,2.0
10_24,10_24,3.0
10_26,10_26,3.0
10_21,10_21,1.0
10_20,10_20,2.0
10_23,10_23,2.0
10_22,10_22,1.0
8_10,8_10,1.0
8_11,8_11,3.0
8_12,8_12,2.0
8_13,8_13,1.0
8_14,8_14,2.0
8_15,8_15,2.0
8_6,8_6,1.0
8_7,8_7,1.0
4_18,4_18,2.0
8_8,8_8,1.0
8_9,8_9,1.0
9_7,9_7,2.0
7_13,7_13,1.0
7_12,7_12,2.0
7_15,7_15,1.0
15_10,15_10,2.0
10_29,10_29,1.0
5_11,5_11,1.0
5_10,5_10,1.0
13_9,13_9,2.0
13_8,13_8,1.0
8_19,8_19,2.0
13_3,13_3,2.0
13_5,13_5,1.0
13_4,13_4,1.0
13_7,13_7,1.0
11_9,11_9,1.0
11_8,11_8,1.0
11_7,11_7,3.0
11_6,11_6,1.0
11_3,11_3,1.0
5_22,5_22,1.0
5_20,5_20,1.0
5_25,5_25,1.0
15_6,15_6,1.0
15_4,15_4,1.0
15_9,15_9,1.0
4_25,4_25,1.0
4_24,4_24,2.0
14_8,14_8,2.0
14_9,14_9,3.0
10_18,10_18,2.0
10_19,10_19,2.0
4_23,4_23,1.0
4_22,4_22,1.0
10_14,10_14,2.0
10_15,10_15,2.0
10_16,10_16,6.0
14_6,14_6,2.0
10_11,10_11,1.0
14_4,14_4,1.0
10_13,10_13,2.0
3_25,3_25,1.0
3_20,3_20,4.0
3_21,3_21,1.0
3_22,3_22,1.0
3_23,3_23,2.0
10_28,10_28,1.0
9_11,9_11,1.0
9_10,9_10,2.0
9_17,9_17,2.0
9_16,9_16,2.0
9_15,9_15,2.0
9_19,9_19,1.0
11_10,11_10,2.0
2_26,2_26,2.0
12_3,12_3,1.0
12_5,12_5,2.0
12_7,12_7,3.0
12_8,12_8,1.0
12_9,12_9,1.0
6_8,6_8,1.0
2_22,2_22,1.0
10_7,10_7,1.0
10_4,10_4,1.0
10_5,10_5,1.0
7_8,7_8,2.0
14_11,14_11,2.0
7_6,7_6,2.0
16_9,16_9,1.0
8_22,8_22,3.0
11_28,11_28,2.0
11_26,11_26,1.0
11_24,11_24,1.0
9_25,9_25,1.0
11_22,11_22,1.0
9_23,9_23,1.0
9_21,9_21,1.0
2_18,2_18,1.0
10_10,10_10,4.0
11_13,11_13,1.0
7_23,7_23,1.0
11_17,11_17,2.0
11_18,11_18,2.0
6_25,6_25,1.0
12_12,12_12,3.0
12_13,12_13,1.0
11_11,11_11,1.0
11_14,11_14,2.0
6_27,6_27,2.0
12_17,12_17,1.0
11_15,11_15,3.0
12_15,12_15,2.0
