,pos,bikelane_len,bikelane_count
9_4,9_4,514.304446943,6.0
9_26,9_26,2721.42787621,21.0
12_12,12_12,3551.3238347,23.0
13_8,13_8,2392.02711217,27.0
9_3,9_3,1546.48607494,18.0
16_8,16_8,730.361373431,4.0
16_9,16_9,2028.42706226,7.0
13_11,13_11,3435.38770558,18.0
13_10,13_10,2206.92631999,21.0
13_12,13_12,902.468767216,10.0
3_19,3_19,3277.57987168,30.0
3_18,3_18,2452.18809431,17.0
12_28,12_28,629.329636094,4.0
3_17,3_17,1200.99330988,1.0
14_10,14_10,2602.01638349,29.0
10_5,10_5,2452.77231945,22.0
6_14,6_14,284.744843461,1.0
12_13,12_13,3346.88332889,34.0
6_12,6_12,1847.26744956,9.0
6_13,6_13,1351.79454728,2.0
6_10,6_10,1892.02014222,16.0
6_11,6_11,2881.17487319,14.0
12_18,12_18,752.708703832,7.0
12_29,12_29,734.603455784,4.0
6_19,6_19,52.87385998,3.0
4_9,4_9,380.653827864,5.0
5_7,5_7,728.316229315,5.0
5_9,5_9,1539.58531971,17.0
5_8,5_8,1812.90560013,11.0
8_24,8_24,1211.45670559,5.0
12_10,12_10,4322.96420198,40.0
11_28,11_28,2441.73034177,21.0
11_29,11_29,1776.96006602,19.0
13_4,13_4,1313.9119938,12.0
8_29,8_29,1086.66681974,3.0
14_8,14_8,2007.9161067,21.0
8_28,8_28,1888.59395217,7.0
11_24,11_24,1247.40722155,12.0
12_11,12_11,3173.97563635,20.0
12_31,12_31,940.353584935,5.0
11_14,11_14,4161.03098917,26.0
16_10,16_10,1015.76214441,7.0
11_22,11_22,2053.72118025,22.0
11_23,11_23,2005.36554792,20.0
11_19,11_19,4742.6888601,31.0
11_20,11_20,2446.31903811,20.0
13_15,13_15,1201.57402095,10.0
11_21,11_21,2587.26582713,17.0
12_16,12_16,4523.56285021,39.0
13_14,13_14,924.264171775,5.0
8_18,8_18,2454.35850799,14.0
8_19,8_19,2114.78295517,17.0
10_27,10_27,1770.71294523,14.0
10_26,10_26,4455.18656949,45.0
10_21,10_21,2359.06150078,23.0
10_20,10_20,2481.14926335,26.0
10_23,10_23,3082.24585277,33.0
10_22,10_22,2500.29618796,26.0
8_10,8_10,2508.04918044,32.0
8_11,8_11,5860.46136231,42.0
8_12,8_12,3642.34317016,43.0
8_13,8_13,4230.58541265,46.0
8_14,8_14,2188.19766632,25.0
8_15,8_15,4347.22586369,45.0
8_16,8_16,5491.14864859,63.0
8_17,8_17,3834.56444995,49.0
8_6,8_6,1723.19497852,14.0
8_7,8_7,2094.42679432,25.0
8_4,8_4,353.912054509,2.0
8_5,8_5,1616.34063062,9.0
4_18,4_18,4748.24527114,41.0
4_19,4_19,1503.15723569,16.0
14_5,14_5,2321.85355027,19.0
4_16,4_16,959.695244712,4.0
4_17,4_17,3473.5092002,19.0
4_10,4_10,1230.54969925,10.0
4_11,4_11,1197.17884405,7.0
4_12,4_12,615.229192613,4.0
8_9,8_9,2921.37330368,34.0
7_19,7_19,1650.93206863,7.0
7_18,7_18,665.049797921,3.0
15_11,15_11,2506.35153217,20.0
14_7,14_7,2447.04896689,23.0
9_9,9_9,2591.56533302,37.0
9_8,9_8,2075.26743419,22.0
7_11,7_11,3331.19268523,33.0
7_10,7_10,2764.87408723,27.0
7_13,7_13,4121.33502967,46.0
7_12,7_12,4634.05109589,44.0
7_15,7_15,2057.15478034,19.0
7_14,7_14,3206.34012387,25.0
14_11,14_11,3426.41691268,24.0
14_9,14_9,2072.7733711,14.0
13_31,13_31,1020.00874007,4.0
15_10,15_10,2763.94996433,28.0
9_15,9_15,3757.66350884,43.0
16_11,16_11,775.97397718,6.0
13_29,13_29,486.245161358,3.0
12_24,12_24,1888.0840268,14.0
11_27,11_27,1309.43196555,14.0
12_15,12_15,3558.87801285,36.0
12_23,12_23,1423.09141203,10.0
13_30,13_30,1074.58203223,9.0
12_22,12_22,1775.37113945,12.0
5_17,5_17,394.44815279,3.0
12_17,12_17,2794.30054775,21.0
5_12,5_12,2953.87994644,19.0
5_10,5_10,493.239238064,4.0
5_19,5_19,2550.89953983,22.0
5_18,5_18,1032.35684079,3.0
11_18,11_18,4872.75986997,47.0
13_9,13_9,2395.04147124,23.0
10_25,10_25,2591.23768944,28.0
10_19,10_19,3345.36303798,31.0
10_24,10_24,1311.26793513,13.0
13_5,13_5,1336.5875143,16.0
12_2,12_2,66.033488408,1.0
13_7,13_7,3208.25093707,27.0
13_6,13_6,2239.3656546,23.0
11_12,11_12,3929.65153747,41.0
12_3,12_3,2406.73235573,21.0
11_9,11_9,2996.77643083,32.0
11_8,11_8,3278.35403937,39.0
11_7,11_7,2807.76665189,24.0
11_6,11_6,1090.85189557,6.0
11_5,11_5,230.321360542,3.0
