,pos,total_flow_count
11_14,11_14,51078.0
12_12,12_12,129971.0
13_8,13_8,18136.0
16_8,16_8,11672.0
16_9,16_9,11672.0
13_11,13_11,70155.0
13_10,13_10,81904.0
13_12,13_12,3565.0
3_19,3_19,37421.0
3_18,3_18,26786.0
12_28,12_28,18490.0
3_17,3_17,11617.0
14_10,14_10,64837.0
14_5,14_5,17780.0
12_13,12_13,66102.0
6_12,6_12,50048.0
6_13,6_13,47845.0
6_10,6_10,76119.0
6_11,6_11,74813.0
12_18,12_18,15096.0
6_18,6_18,5158.0
6_19,6_19,29103.0
4_9,4_9,6920.0
5_7,5_7,4145.0
5_9,5_9,28983.0
5_8,5_8,14876.0
8_24,8_24,36223.0
12_10,12_10,138127.0
11_28,11_28,16827.0
11_29,11_29,24849.0
13_4,13_4,75799.0
11_26,11_26,45984.0
11_27,11_27,33407.0
11_24,11_24,64262.0
12_11,12_11,206747.0
12_30,12_30,3947.0
11_25,11_25,76807.0
16_10,16_10,53201.0
11_22,11_22,32584.0
11_23,11_23,48899.0
11_20,11_20,31651.0
13_15,13_15,2073.0
11_21,11_21,10728.0
13_14,13_14,16045.0
8_18,8_18,88463.0
8_19,8_19,30616.0
10_27,10_27,73691.0
10_26,10_26,132904.0
10_21,10_21,59824.0
10_20,10_20,138470.0
10_23,10_23,73733.0
10_22,10_22,211313.0
8_10,8_10,83921.0
8_11,8_11,142723.0
8_12,8_12,109556.0
8_13,8_13,41717.0
8_14,8_14,97105.0
8_15,8_15,401791.0
8_16,8_16,426582.0
8_17,8_17,169221.0
8_6,8_6,56610.0
8_7,8_7,53618.0
8_5,8_5,7839.0
4_18,4_18,82709.0
4_19,4_19,129943.0
4_16,4_16,11617.0
4_17,4_17,36951.0
4_10,4_10,6920.0
4_11,4_11,9620.0
4_12,4_12,2201.0
8_9,8_9,179642.0
7_19,7_19,20966.0
7_18,7_18,7411.0
15_11,15_11,15247.0
9_9,9_9,36223.0
9_8,9_8,76853.0
7_11,7_11,48412.0
7_10,7_10,111662.0
7_13,7_13,81663.0
7_12,7_12,33033.0
7_15,7_15,115404.0
7_14,7_14,160898.0
12_14,12_14,49100.0
14_9,14_9,100556.0
15_10,15_10,36845.0
10_30,10_30,8497.0
10_29,10_29,14045.0
12_24,12_24,17750.0
12_15,12_15,38116.0
12_23,12_23,3294.0
12_22,12_22,12630.0
5_17,5_17,19284.0
5_12,5_12,38914.0
5_11,5_11,33111.0
