,pos,count,total_len
11_9,11_9,54.0,74114.5772272
12_24,12_24,4.0,3419.54039666
12_23,12_23,2.0,836.863440726
12_29,12_29,2.0,1078.76552568
17_24,17_24,8.0,13263.4532193
17_25,17_25,8.0,12723.5860615
17_26,17_26,4.0,762.438278
17_27,17_27,4.0,90.2804598516
17_22,17_22,26.0,48357.3683007
4_18,4_18,12.0,22033.6331355
4_19,4_19,24.0,7410.95362847
4_16,4_16,8.0,6802.09398373
4_17,4_17,12.0,17125.7072962
4_10,4_10,4.0,7983.62550874
4_11,4_11,4.0,8025.93584262
9_9,9_9,6.0,8723.22665251
9_8,9_8,4.0,5441.79138184
9_7,9_7,12.0,16916.8541967
9_6,9_6,16.0,8492.51470679
9_5,9_5,8.0,8541.12059461
10_30,10_30,30.0,45017.2366593
10_31,10_31,6.0,7263.02827099
13_20,13_20,24.0,30049.0146726
15_14,15_14,28.0,64215.4148231
15_12,15_12,2.0,1207.40940952
15_11,15_11,6.0,7766.44286147
15_10,15_10,12.0,21809.70376
17_18,17_18,2.0,686.491666907
17_15,17_15,28.0,58648.0416849
17_17,17_17,2.0,2649.42506584
17_16,17_16,4.0,3601.89066547
5_31,5_31,4.0,4441.72498138
5_30,5_30,6.0,12103.9172109
6_5,6_5,2.0,1280.31549403
6_6,6_6,4.0,4534.88892516
6_7,6_7,2.0,3023.27897317
6_8,6_8,10.0,12266.7605517
6_9,6_9,4.0,3385.36767913
16_30,16_30,6.0,6949.77923403
16_31,16_31,8.0,9833.99690848
8_21,8_21,36.0,68358.5726927
8_20,8_20,38.0,83327.4690053
8_23,8_23,34.0,73690.9180408
8_22,8_22,34.0,66155.9661262
8_25,8_25,4.0,5233.02761714
8_24,8_24,36.0,31391.5378248
9_28,9_28,30.0,61805.522154
8_26,8_26,4.0,6386.11133745
8_29,8_29,6.0,9439.39685707
8_28,8_28,6.0,11246.3126595
9_24,9_24,32.0,38817.9181864
9_25,9_25,32.0,61028.6929189
9_22,9_22,4.0,6732.18640964
9_23,9_23,2.0,4014.77603244
9_20,9_20,26.0,16751.5905795
9_21,9_21,8.0,10567.3935742
18_15,18_15,28.0,54542.269539
11_19,11_19,32.0,59793.2557258
11_18,11_18,10.0,14105.8981195
11_13,11_13,36.0,42576.8634664
11_12,11_12,92.0,40325.3926735
11_11,11_11,94.0,136170.427249
11_10,11_10,62.0,96036.8294025
18_18,18_18,30.0,27141.608754
11_16,11_16,14.0,15580.563787
11_15,11_15,16.0,27888.4467762
11_14,11_14,16.0,17781.8889772
13_11,13_11,22.0,17182.3143431
13_10,13_10,20.0,19666.8005294
13_13,13_13,28.0,61479.6328084
13_12,13_12,2.0,1851.69390291
13_15,13_15,4.0,3514.93010559
13_14,13_14,4.0,5947.38852183
13_19,13_19,24.0,20422.6222467
6_16,6_16,2.0,2033.39359523
6_17,6_17,2.0,2029.26264442
7_31,7_31,2.0,2841.38639793
7_30,7_30,4.0,5149.26907458
6_12,6_12,20.0,23116.1262762
6_13,6_13,18.0,17869.1931031
6_10,6_10,8.0,10516.4935615
6_11,6_11,16.0,12742.7111449
6_19,6_19,26.0,668.992265847
5_9,5_9,6.0,8899.71920631
5_8,5_8,2.0,1014.79187435
8_27,8_27,4.0,7044.44712768
9_29,9_29,28.0,58714.8704775
9_26,9_26,30.0,60772.2083403
9_27,9_27,32.0,62645.0921195
12_30,12_30,2.0,3006.57898457
12_31,12_31,2.0,2551.90962349
8_18,8_18,114.0,162918.258927
8_19,8_19,64.0,57310.5033335
8_10,8_10,6.0,5623.35354563
8_11,8_11,18.0,21269.0388134
8_12,8_12,26.0,15195.8924801
8_13,8_13,22.0,18055.0276819
8_14,8_14,22.0,30895.2516946
8_15,8_15,154.0,154035.990561
8_16,8_16,192.0,318385.978415
8_17,8_17,188.0,235808.266624
18_29,18_29,4.0,8419.63963891
18_28,18_28,4.0,8715.40296775
18_25,18_25,4.0,5116.14176288
18_24,18_24,14.0,19304.3446836
18_27,18_27,4.0,7668.16152161
18_26,18_26,4.0,6707.73674301
18_21,18_21,8.0,8584.13415056
18_20,18_20,14.0,13833.365252
18_23,18_23,10.0,11432.424913
18_22,18_22,30.0,59284.0747755
14_8,14_8,8.0,10267.7507694
14_9,14_9,10.0,14216.27248
14_2,14_2,6.0,8770.92964754
14_3,14_3,22.0,29703.0071483
14_0,14_0,8.0,10789.5101508
14_1,14_1,8.0,10857.5996173
14_6,14_6,28.0,27625.5474142
2_31,2_31,4.0,5672.15252839
14_4,14_4,12.0,9856.12007432
14_5,14_5,30.0,36343.0998985
12_0,12_0,10.0,13369.4689684
12_1,12_1,6.0,7538.70489497
12_2,12_2,12.0,14822.5226369
12_3,12_3,26.0,12459.7224522
12_4,12_4,32.0,22346.572771
12_5,12_5,48.0,69949.0323018
12_6,12_6,52.0,78182.9218691
12_7,12_7,26.0,18072.7814665
12_8,12_8,52.0,69681.1848678
12_9,12_9,60.0,43354.1537734
10_6,10_6,8.0,8532.83763107
10_7,10_7,8.0,12755.54312
10_4,10_4,6.0,10641.4020831
10_5,10_5,8.0,10752.6960277
10_2,10_2,2.0,2753.80452014
10_3,10_3,8.0,8555.86730586
14_10,14_10,12.0,12725.0468556
14_11,14_11,16.0,16381.0235436
14_12,14_12,4.0,3395.34620716
14_13,14_13,28.0,16941.265253
14_14,14_14,28.0,47766.0603143
10_8,10_8,2.0,4680.66837464
10_9,10_9,4.0,2115.55493217
16_0,16_0,6.0,12484.2233328
16_1,16_1,6.0,22.7262302179
16_2,16_2,12.0,12438.2123466
16_3,16_3,12.0,11064.551861
16_8,16_8,2.0,778.394871899
16_9,16_9,4.0,6297.85074382
1_25,1_25,4.0,1932.93710128
1_17,1_17,2.0,1653.73681666
14_7,14_7,26.0,11715.6883974
11_17,11_17,18.0,19192.5753527
18_19,18_19,14.0,16594.3815576
9_31,9_31,26.0,63762.3209752
9_30,9_30,26.0,19652.6269587
3_19,3_19,8.0,13915.7929424
3_18,3_18,8.0,12529.0115622
3_17,3_17,8.0,7577.30805903
3_16,3_16,2.0,1839.1101383
12_18,12_18,2.0,1613.60200262
19_24,19_24,10.0,12922.4975525
19_22,19_22,36.0,63262.6795042
19_23,19_23,36.0,30183.5045171
19_20,19_20,14.0,25587.0724392
19_21,19_21,10.0,17673.5004599
8_6,8_6,8.0,14158.8508753
8_7,8_7,8.0,11693.5213164
8_5,8_5,2.0,2448.16431272
8_8,8_8,8.0,9306.87592558
8_9,8_9,8.0,9017.83735563
15_30,15_30,10.0,15466.6298445
9_15,9_15,92.0,136629.474513
9_14,9_14,62.0,79289.3872748
14_20,14_20,24.0,50682.7093318
14_25,14_25,4.0,6862.2332812
19_2,19_2,20.0,19373.0811957
19_1,19_1,18.0,7221.48203858
5_17,5_17,8.0,3700.21805654
5_16,5_16,2.0,2033.26605677
5_12,5_12,10.0,20359.634798
5_11,5_11,8.0,12810.6971946
5_10,5_10,4.0,9896.50429044
5_19,5_19,30.0,56068.4500117
5_18,5_18,6.0,7172.13288953
13_9,13_9,26.0,24289.3104297
13_8,13_8,30.0,26850.4551267
13_1,13_1,16.0,24658.1135903
13_0,13_0,12.0,22627.8810341
13_3,13_3,36.0,69090.9146402
13_2,13_2,22.0,30749.724455
13_5,13_5,32.0,22559.247386
13_4,13_4,42.0,71208.2868813
18_30,18_30,4.0,5055.3830888
18_31,18_31,4.0,2598.64372655
16_16,16_16,2.0,531.27842648
16_17,16_17,2.0,1169.16147151
16_14,16_14,28.0,2355.7188579
16_15,16_15,28.0,63392.8268509
16_10,16_10,8.0,11197.7251721
11_8,11_8,40.0,34356.9042611
11_7,11_7,44.0,58175.6775491
11_6,11_6,38.0,24574.2477315
11_5,11_5,10.0,9913.21268336
4_31,4_31,20.0,30949.0805943
11_3,11_3,8.0,10674.6544693
11_2,11_2,12.0,17559.2776938
11_1,11_1,12.0,18836.4314893
11_0,11_0,4.0,2997.92098415
17_1,17_1,16.0,15954.5318825
17_2,17_2,16.0,11132.7375489
15_3,15_3,18.0,26034.1866925
15_0,15_0,2.0,2731.71356715
15_7,15_7,2.0,3469.39478828
15_6,15_6,6.0,8713.39806512
15_5,15_5,32.0,30451.6218177
15_4,15_4,16.0,19769.2167435
15_9,15_9,6.0,10528.5084379
15_8,15_8,2.0,2433.24747823
10_18,10_18,42.0,45300.6901308
10_19,10_19,38.0,58282.4299818
10_14,10_14,64.0,55560.8967712
10_15,10_15,16.0,26185.6164271
10_16,10_16,18.0,12078.3275505
10_17,10_17,38.0,29006.9676704
10_10,10_10,4.0,6976.14123696
10_11,10_11,6.0,14416.320756
10_12,10_12,54.0,63309.0003939
10_13,10_13,66.0,105114.732306
3_24,3_24,8.0,10943.6611727
3_25,3_25,16.0,19544.720778
3_26,3_26,4.0,5515.70244222
3_27,3_27,4.0,4149.61836175
3_20,3_20,24.0,28461.5936906
3_21,3_21,18.0,24622.6672383
3_22,3_22,18.0,19383.2692413
3_23,3_23,4.0,7521.2586327
3_28,3_28,2.0,283.66609559
3_29,3_29,2.0,2991.83312547
11_31,11_31,8.0,4361.09193865
11_30,11_30,4.0,8227.58091856
2_27,2_27,6.0,4030.29246044
2_26,2_26,4.0,8302.24752128
2_25,2_25,8.0,7937.78593363
2_24,2_24,10.0,8220.4564209
2_23,2_23,10.0,15928.6512567
2_22,2_22,14.0,16592.6948279
2_21,2_21,4.0,8808.61872923
2_20,2_20,4.0,6453.73537331
7_9,7_9,16.0,23294.6597392
7_8,7_8,16.0,14388.4518215
7_5,7_5,2.0,3419.53644537
7_7,7_7,4.0,8326.80287144
7_6,7_6,6.0,10877.146292
18_1,18_1,14.0,15643.9715921
6_30,6_30,2.0,4026.65926212
6_31,6_31,2.0,1085.7722451
17_31,17_31,6.0,9576.12848166
1_26,1_26,4.0,1127.56440684
1_24,1_24,8.0,6332.41429177
12_19,12_19,24.0,50514.2716079
12_12,12_12,48.0,43730.1976414
12_13,12_13,38.0,73925.6272632
12_10,12_10,22.0,36069.886493
12_11,12_11,50.0,40979.0382255
12_16,12_16,8.0,11003.5015398
12_17,12_17,10.0,6111.39085174
12_14,12_14,10.0,3511.19203186
12_15,12_15,10.0,7345.252261
0_24,0_24,4.0,4001.72003862
4_9,4_9,4.0,730.163581344
13_7,13_7,28.0,30993.252396
13_6,13_6,16.0,17342.1260641
10_25,10_25,8.0,12798.3698568
10_24,10_24,4.0,8005.71533101
10_27,10_27,10.0,10810.0918121
10_26,10_26,12.0,19922.7243554
10_21,10_21,10.0,15628.4189276
10_20,10_20,18.0,25392.9397653
10_23,10_23,8.0,10415.2958612
