,pos,transitstop_count
8_20,8_20,6.0
11_9,11_9,4.0
12_12,12_12,5.0
13_8,13_8,2.0
13_11,13_11,5.0
13_10,13_10,5.0
19_16,19_16,3.0
3_19,3_19,1.0
10_5,10_5,3.0
7_31,7_31,3.0
12_13,12_13,6.0
6_12,6_12,4.0
6_13,6_13,4.0
6_10,6_10,2.0
6_11,6_11,2.0
6_19,6_19,2.0
17_31,17_31,2.0
4_21,4_21,1.0
5_20,5_20,3.0
7_10,7_10,1.0
11_26,11_26,1.0
18_7,18_7,1.0
19_25,19_25,1.0
9_28,9_28,2.0
6_25,6_25,3.0
8_26,8_26,4.0
10_20,10_20,8.0
6_30,6_30,1.0
9_27,9_27,2.0
18_31,18_31,3.0
9_24,9_24,3.0
12_11,12_11,15.0
12_31,12_31,2.0
19_22,19_22,2.0
11_25,11_25,2.0
10_23,10_23,2.0
11_23,11_23,2.0
17_25,17_25,1.0
17_26,17_26,1.0
7_21,7_21,3.0
13_15,13_15,1.0
16_22,16_22,1.0
8_18,8_18,12.0
8_19,8_19,9.0
10_27,10_27,2.0
10_26,10_26,7.0
10_21,10_21,5.0
19_23,19_23,5.0
19_20,19_20,6.0
10_22,10_22,7.0
8_10,8_10,2.0
8_11,8_11,6.0
8_12,8_12,2.0
8_14,8_14,22.0
8_15,8_15,73.0
8_16,8_16,68.0
8_17,8_17,37.0
8_6,8_6,3.0
8_7,8_7,3.0
4_18,4_18,7.0
15_31,15_31,3.0
18_29,18_29,1.0
11_5,11_5,4.0
8_8,8_8,2.0
8_9,8_9,4.0
7_19,7_19,3.0
11_4,11_4,2.0
9_9,9_9,4.0
9_8,9_8,3.0
7_11,7_11,3.0
9_6,9_6,2.0
7_13,7_13,1.0
6_22,6_22,4.0
7_15,7_15,16.0
7_14,7_14,18.0
8_28,8_28,3.0
9_31,9_31,3.0
17_17,17_17,2.0
19_19,19_19,6.0
19_13,19_13,1.0
18_26,18_26,2.0
19_17,19_17,1.0
18_28,18_28,3.0
19_15,19_15,3.0
10_31,10_31,2.0
14_1,14_1,4.0
18_24,18_24,3.0
18_27,18_27,3.0
19_18,19_18,17.0
18_21,18_21,2.0
18_20,18_20,4.0
18_23,18_23,1.0
19_5,19_5,1.0
7_30,7_30,1.0
14_25,14_25,1.0
19_2,19_2,4.0
19_24,19_24,3.0
14_26,14_26,5.0
13_30,13_30,1.0
13_26,13_26,1.0
15_22,15_22,3.0
15_20,15_20,5.0
15_21,15_21,1.0
5_19,5_19,5.0
18_17,18_17,4.0
11_18,11_18,1.0
6_28,6_28,1.0
13_9,13_9,4.0
10_25,10_25,5.0
19_1,19_1,2.0
10_24,10_24,2.0
13_0,13_0,4.0
13_3,13_3,3.0
13_2,13_2,3.0
13_5,13_5,3.0
13_4,13_4,4.0
13_7,13_7,2.0
13_6,13_6,3.0
14_30,14_30,1.0
14_31,14_31,9.0
8_30,8_30,4.0
15_11,15_11,2.0
11_8,11_8,5.0
11_7,11_7,2.0
11_6,11_6,3.0
4_30,4_30,5.0
4_31,4_31,13.0
11_3,11_3,7.0
11_2,11_2,3.0
11_1,11_1,2.0
11_0,11_0,2.0
9_5,9_5,4.0
5_21,5_21,1.0
5_26,5_26,4.0
5_27,5_27,3.0
5_24,5_24,3.0
4_29,4_29,2.0
5_28,5_28,2.0
5_29,5_29,5.0
17_1,17_1,1.0
15_30,15_30,3.0
17_2,17_2,2.0
15_3,15_3,4.0
15_2,15_2,2.0
15_1,15_1,1.0
15_0,15_0,3.0
2_22,2_22,2.0
17_18,17_18,2.0
15_5,15_5,4.0
15_4,15_4,2.0
2_25,2_25,1.0
15_6,15_6,2.0
4_25,4_25,5.0
4_24,4_24,3.0
14_8,14_8,2.0
14_9,14_9,3.0
10_18,10_18,8.0
4_20,4_20,9.0
4_23,4_23,3.0
4_22,4_22,2.0
14_2,14_2,2.0
10_15,10_15,13.0
10_16,10_16,19.0
10_17,10_17,7.0
10_10,10_10,8.0
4_28,4_28,6.0
10_12,10_12,5.0
14_5,14_5,4.0
3_24,3_24,3.0
3_25,3_25,6.0
3_26,3_26,2.0
7_23,7_23,6.0
3_20,3_20,7.0
3_21,3_21,1.0
3_22,3_22,6.0
3_23,3_23,4.0
3_29,3_29,4.0
12_2,12_2,4.0
5_31,5_31,4.0
5_30,5_30,1.0
14_3,14_3,3.0
9_13,9_13,1.0
9_12,9_12,1.0
9_11,9_11,10.0
9_10,9_10,5.0
9_17,9_17,22.0
9_16,9_16,38.0
9_15,9_15,32.0
9_14,9_14,13.0
16_31,16_31,5.0
9_19,9_19,5.0
9_18,9_18,13.0
11_31,11_31,4.0
11_30,11_30,4.0
10_3,10_3,1.0
12_0,12_0,5.0
12_1,12_1,4.0
16_10,16_10,3.0
12_4,12_4,2.0
12_5,12_5,7.0
12_6,12_6,9.0
12_7,12_7,4.0
12_8,12_8,8.0
12_9,12_9,8.0
9_23,9_23,2.0
2_24,2_24,1.0
6_8,6_8,4.0
4_27,4_27,4.0
10_6,10_6,2.0
10_7,10_7,9.0
10_4,10_4,2.0
4_26,4_26,9.0
7_9,7_9,8.0
7_8,7_8,9.0
10_0,10_0,1.0
