,pos,transitstop_count
12_24,12_24,20.0
12_23,12_23,4.0
12_29,12_29,28.0
12_28,12_28,14.0
17_24,17_24,2.0
17_25,17_25,24.0
17_26,17_26,36.0
17_27,17_27,26.0
17_20,17_20,16.0
17_21,17_21,38.0
17_22,17_22,16.0
17_28,17_28,4.0
4_18,4_18,58.0
4_19,4_19,46.0
4_16,4_16,12.0
4_17,4_17,48.0
4_10,4_10,20.0
4_11,4_11,30.0
9_9,9_9,28.0
9_8,9_8,34.0
9_7,9_7,60.0
9_6,9_6,48.0
9_5,9_5,36.0
10_30,10_30,6.0
10_31,10_31,6.0
13_29,13_29,12.0
13_25,13_25,16.0
13_26,13_26,16.0
13_27,13_27,14.0
15_12,15_12,6.0
15_11,15_11,14.0
15_10,15_10,40.0
17_18,17_18,8.0
17_15,17_15,10.0
17_17,17_17,12.0
17_16,17_16,18.0
5_31,5_31,24.0
6_5,6_5,8.0
6_6,6_6,28.0
6_7,6_7,36.0
6_8,6_8,56.0
6_9,6_9,16.0
16_30,16_30,36.0
16_31,16_31,64.0
8_21,8_21,44.0
8_20,8_20,68.0
8_23,8_23,52.0
8_22,8_22,40.0
8_25,8_25,12.0
8_24,8_24,28.0
8_27,8_27,20.0
9_29,9_29,22.0
9_26,9_26,30.0
8_28,8_28,20.0
9_24,9_24,54.0
9_25,9_25,42.0
9_22,9_22,36.0
9_23,9_23,26.0
9_20,9_20,66.0
9_21,9_21,36.0
18_15,18_15,26.0
11_19,11_19,40.0
18_17,18_17,44.0
11_13,11_13,50.0
11_12,11_12,60.0
11_11,11_11,144.0
11_10,11_10,62.0
18_18,18_18,204.0
11_16,11_16,86.0
11_15,11_15,76.0
11_14,11_14,42.0
13_11,13_11,46.0
13_10,13_10,58.0
13_15,13_15,4.0
13_14,13_14,24.0
6_17,6_17,2.0
7_31,7_31,40.0
7_30,7_30,48.0
6_12,6_12,24.0
6_13,6_13,22.0
6_10,6_10,40.0
6_11,6_11,48.0
6_18,6_18,20.0
6_19,6_19,14.0
5_7,5_7,6.0
5_9,5_9,40.0
5_8,5_8,12.0
8_26,8_26,18.0
8_29,8_29,36.0
9_27,9_27,32.0
12_30,12_30,16.0
12_31,12_31,16.0
8_18,8_18,126.0
8_19,8_19,84.0
8_10,8_10,32.0
8_11,8_11,80.0
8_12,8_12,56.0
8_13,8_13,76.0
8_14,8_14,118.0
8_15,8_15,314.0
8_16,8_16,287.0
8_17,8_17,218.0
18_29,18_29,8.0
18_28,18_28,16.0
18_25,18_25,22.0
18_24,18_24,32.0
18_27,18_27,36.0
18_26,18_26,44.0
18_21,18_21,24.0
18_20,18_20,54.0
18_23,18_23,12.0
18_22,18_22,22.0
14_8,14_8,46.0
14_9,14_9,38.0
14_2,14_2,30.0
14_3,14_3,68.0
14_0,14_0,40.0
14_1,14_1,48.0
14_6,14_6,28.0
2_31,2_31,28.0
14_4,14_4,20.0
