,house_price,pos
11_30,336852.9412,11_30
11_29,348992.688095,11_29
12_30,336852.9412,12_30
12_29,370892.951329,12_29
10_30,336852.9412,10_30
10_29,337053.891399,10_29
9_29,336852.9412,9_29
10_28,398482.283645,10_28
11_28,407791.1765,11_28
12_28,407791.1765,12_28
10_27,389511.807367,10_27
9_28,403417.950969,9_28
9_27,399682.787878,9_27
8_28,398907.3529,8_28
11_27,388302.213109,11_27
8_27,398907.3529,8_27
6_24,357368.438913,6_24
11_24,558916.148839,11_24
10_24,427453.996319,10_24
5_24,397208.464738,5_24
12_24,710799.311782,12_24
9_24,415608.449883,9_24
5_23,436376.590953,5_23
4_24,373587.115814,4_24
7_24,135772.641691,7_24
6_23,189105.07565,6_23
2_23,635612.627005,2_23
2_24,684569.103119,2_24
3_24,468103.842628,3_24
4_23,425786.382316,4_23
7_23,0.0,7_23
8_24,23592.4653796,8_24
8_23,199344.356379,8_23
9_23,469308.8235,9_23
3_23,500732.546839,3_23
1_24,689029.4118,1_24
1_23,689029.4118,1_23
10_23,465289.219811,10_23
13_24,725191.1765,13_24
13_23,725191.1765,13_23
11_23,554396.274385,11_23
12_23,652322.645119,12_23
6_26,367004.497658,6_26
6_25,349098.855389,6_25
10_26,374479.725637,10_26
10_25,412623.890516,10_25
11_26,399936.006993,11_26
9_26,374163.693775,9_26
9_25,344443.803509,9_25
2_26,487094.1176,2_26
2_25,533690.876783,2_25
7_26,336980.8824,7_26
7_25,325272.744548,7_25
1_26,529655.632251,1_26
1_25,618869.094449,1_25
11_25,557569.900149,11_25
5_26,392019.1176,5_26
5_25,392019.1176,5_25
4_26,392019.1176,4_26
4_25,373741.340114,4_25
3_26,487094.1176,3_26
3_25,430374.3296,3_25
8_26,0.0,8_26
8_25,0.0,8_25
2_27,487094.1176,2_27
1_27,487094.1176,1_27
12_25,725191.1765,12_25
5_19,292626.991799,5_19
5_18,261593.342029,5_18
2_20,628704.846993,2_20
3_20,587062.805409,3_20
4_20,520105.766911,4_20
6_20,97747.2030426,6_20
5_20,446133.343636,5_20
4_19,623114.33576,4_19
7_20,0.0,7_20
7_19,0.0,7_19
3_19,612140.146877,3_19
2_19,703150.526185,2_19
6_18,0.0,6_18
6_19,0.0,6_19
8_20,187711.885521,8_20
8_19,174.543384978,8_19
10_20,381104.081206,10_20
10_19,160946.704851,10_19
11_20,716091.1765,11_20
11_19,740418.363553,11_19
9_20,525065.887801,9_20
9_19,506185.981287,9_19
9_18,66338.4116287,9_18
2_18,704503.163256,2_18
8_18,0.0,8_18
10_18,368717.881075,10_18
4_18,662135.2941,4_18
11_18,727115.969668,11_18
3_18,666102.736158,3_18
7_18,0.0,7_18
12_16,418151.285354,12_16
10_16,364781.828047,10_16
11_16,370150.997861,11_16
9_16,312965.583127,9_16
12_15,799710.244594,12_15
13_16,49411.30632,13_16
8_16,5171.8226267,8_16
8_15,300106.355191,8_15
9_15,78163.1490532,9_15
13_15,1243183.4612,13_15
7_15,323800.434036,7_15
7_16,0.0,7_16
11_15,685143.078959,11_15
10_15,562139.7059,10_15
4_17,677036.32455,4_17
4_16,705337.387692,4_16
3_17,695336.770057,3_17
9_17,88107.2446537,9_17
8_17,0.0,8_17
5_17,658471.10007,5_17
6_17,0.0,6_17
5_16,707245.5882,5_16
1_18,707245.5882,1_18
1_17,707245.5882,1_17
2_17,707245.5882,2_17
11_17,767527.590326,11_17
12_17,751454.785768,12_17
10_17,554699.978031,10_17
7_17,0.0,7_17
12_18,785157.3529,12_18
2_22,586962.239213,2_22
6_22,126806.970377,6_22
6_21,98922.8438883,6_21
7_22,0.0,7_22
8_22,391229.264536,8_22
4_22,439049.100441,4_22
9_22,478925.330358,9_22
12_22,599132.449879,12_22
3_22,540667.475342,3_22
3_21,551468.743546,3_21
4_21,462106.875478,4_21
5_21,439399.18639,5_21
5_22,439655.464723,5_22
8_21,360809.767364,8_21
9_21,524890.361642,9_21
10_22,461463.797181,10_22
11_22,272847.349689,11_22
10_21,333642.910112,10_21
11_21,120697.470844,11_21
2_21,612997.0588,2_21
7_21,0.0,7_21
12_21,0.0,12_21
16_11,1129851.80364,16_11
16_10,235727.435871,16_10
17_11,0.0,17_11
15_11,1206768.36199,15_11
14_11,1082046.82883,14_11
13_11,809421.586468,13_11
7_10,620028.812178,7_10
7_11,773602.090588,7_11
6_11,234051.895282,6_11
6_10,346002.494419,6_10
5_11,804207.3529,5_11
5_10,804207.3529,5_10
11_11,732017.045968,11_11
11_10,746879.689252,11_10
