format_original_time,Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk,format_original_time,total_count
2014-02-01 00:00:00,2/1/14 0:00,16.0,5.0,2014-02-01 00:00:00,21.0
2014-02-01 01:00:00,2/1/14 1:00,6.0,8.0,2014-02-01 01:00:00,14.0
2014-02-01 02:00:00,2/1/14 2:00,3.0,1.0,2014-02-01 02:00:00,4.0
2014-02-01 03:00:00,2/1/14 3:00,1.0,1.0,2014-02-01 03:00:00,2.0
2014-02-01 04:00:00,2/1/14 4:00,1.0,0.0,2014-02-01 04:00:00,1.0
2014-02-01 05:00:00,2/1/14 5:00,1.0,5.0,2014-02-01 05:00:00,6.0
2014-02-01 06:00:00,2/1/14 6:00,6.0,5.0,2014-02-01 06:00:00,11.0
2014-02-01 07:00:00,2/1/14 7:00,11.0,15.0,2014-02-01 07:00:00,26.0
2014-02-01 08:00:00,2/1/14 8:00,18.0,42.0,2014-02-01 08:00:00,60.0
2014-02-01 09:00:00,2/1/14 9:00,33.0,38.0,2014-02-01 09:00:00,71.0
2014-02-01 10:00:00,2/1/14 10:00,35.0,56.0,2014-02-01 10:00:00,91.0
2014-02-01 11:00:00,2/1/14 11:00,41.0,40.0,2014-02-01 11:00:00,81.0
2014-02-01 12:00:00,2/1/14 12:00,41.0,70.0,2014-02-01 12:00:00,111.0
2014-02-01 13:00:00,2/1/14 13:00,43.0,43.0,2014-02-01 13:00:00,86.0
2014-02-01 14:00:00,2/1/14 14:00,53.0,69.0,2014-02-01 14:00:00,122.0
2014-02-01 15:00:00,2/1/14 15:00,41.0,70.0,2014-02-01 15:00:00,111.0
2014-02-01 16:00:00,2/1/14 16:00,46.0,64.0,2014-02-01 16:00:00,110.0
2014-02-01 17:00:00,2/1/14 17:00,26.0,26.0,2014-02-01 17:00:00,52.0
2014-02-01 18:00:00,2/1/14 18:00,16.0,31.0,2014-02-01 18:00:00,47.0
2014-02-01 19:00:00,2/1/14 19:00,14.0,21.0,2014-02-01 19:00:00,35.0
2014-02-01 20:00:00,2/1/14 20:00,12.0,9.0,2014-02-01 20:00:00,21.0
2014-02-01 21:00:00,2/1/14 21:00,8.0,10.0,2014-02-01 21:00:00,18.0
2014-02-01 22:00:00,2/1/14 22:00,6.0,10.0,2014-02-01 22:00:00,16.0
2014-02-01 23:00:00,2/1/14 23:00,6.0,11.0,2014-02-01 23:00:00,17.0
2014-02-02 00:00:00,2/2/14 0:00,10.0,9.0,2014-02-02 00:00:00,19.0
2014-02-02 01:00:00,2/2/14 1:00,6.0,2.0,2014-02-02 01:00:00,8.0
2014-02-02 02:00:00,2/2/14 2:00,5.0,0.0,2014-02-02 02:00:00,5.0
2014-02-02 03:00:00,2/2/14 3:00,4.0,1.0,2014-02-02 03:00:00,5.0
2014-02-02 04:00:00,2/2/14 4:00,4.0,2.0,2014-02-02 04:00:00,6.0
2014-02-02 05:00:00,2/2/14 5:00,1.0,2.0,2014-02-02 05:00:00,3.0
2014-02-02 06:00:00,2/2/14 6:00,4.0,5.0,2014-02-02 06:00:00,9.0
