format_original_time,Observation Time,beacon_hill,sopark,format_original_time
2/1/14 0:00,2/1/14 0:00,7,8.3,2/1/14 0:00
2/1/14 1:00,2/1/14 1:00,7.5,8.6,2/1/14 1:00
2/1/14 2:00,2/1/14 2:00,7.3,9,2/1/14 2:00
2/1/14 3:00,2/1/14 3:00,8.3,9.7,2/1/14 3:00
2/1/14 4:00,2/1/14 4:00,9,10,2/1/14 4:00
2/1/14 5:00,2/1/14 5:00,8,10.5,2/1/14 5:00
2/1/14 6:00,2/1/14 6:00,7.5,11.6,2/1/14 6:00
2/1/14 7:00,2/1/14 7:00,8.6,14.1,2/1/14 7:00
2/1/14 8:00,2/1/14 8:00,9.5,15.9,2/1/14 8:00
2/1/14 9:00,2/1/14 9:00,11.3,17.4,2/1/14 9:00
2/1/14 10:00,2/1/14 10:00,13.8,17.9,2/1/14 10:00
2/1/14 11:00,2/1/14 11:00,14,18.6,2/1/14 11:00
2/1/14 12:00,2/1/14 12:00,12.8,8,2/1/14 12:00
2/1/14 13:00,2/1/14 13:00,10,11.3,2/1/14 13:00
2/1/14 14:00,2/1/14 14:00,8.1,9.9,2/1/14 14:00
2/1/14 15:00,2/1/14 15:00,8.1,9.3,2/1/14 15:00
2/1/14 16:00,2/1/14 16:00,6.5,9.3,2/1/14 16:00
2/1/14 17:00,2/1/14 17:00,5.3,8.4,2/1/14 17:00
2/1/14 18:00,2/1/14 18:00,5.5,12.6,2/1/14 18:00
2/1/14 19:00,2/1/14 19:00,5.3,13.4,2/1/14 19:00
2/1/14 20:00,2/1/14 20:00,6.4,16.2,2/1/14 20:00
2/1/14 21:00,2/1/14 21:00,6.4,16.1,2/1/14 21:00
2/1/14 22:00,2/1/14 22:00,9.1,15.8,2/1/14 22:00
2/1/14 23:00,2/1/14 23:00,9.6,14.4,2/1/14 23:00
2/2/14 0:00,2/2/14 0:00,6,18.7,2/2/14 0:00
2/2/14 1:00,2/2/14 1:00,12,17.8,2/2/14 1:00
2/2/14 2:00,2/2/14 2:00,9.3,15.1,2/2/14 2:00
2/2/14 3:00,2/2/14 3:00,8.6,12.8,2/2/14 3:00
2/2/14 4:00,2/2/14 4:00,5.5,10.8,2/2/14 4:00
2/2/14 5:00,2/2/14 5:00,5.5,10.6,2/2/14 5:00
2/2/14 6:00,2/2/14 6:00,7,11.3,2/2/14 6:00
2/2/14 7:00,2/2/14 7:00,5.6,8.8,2/2/14 7:00
2/2/14 8:00,2/2/14 8:00,3,7.9,2/2/14 8:00
2/2/14 9:00,2/2/14 9:00,1.8,8.2,2/2/14 9:00
2/2/14 10:00,2/2/14 10:00,2.5,9.3,2/2/14 10:00
2/2/14 11:00,2/2/14 11:00,4,10.1,2/2/14 11:00
2/2/14 12:00,2/2/14 12:00,6.5,10.1,2/2/14 12:00
2/2/14 13:00,2/2/14 13:00,6.5,8.2,2/2/14 13:00
2/2/14 14:00,2/2/14 14:00,6.5,7.8,2/2/14 14:00
2/2/14 15:00,2/2/14 15:00,6.9,7,2/2/14 15:00
2/2/14 16:00,2/2/14 16:00,4.9,5.5,2/2/14 16:00
2/2/14 17:00,2/2/14 17:00,2.8,6.7,2/2/14 17:00
2/2/14 18:00,2/2/14 18:00,4.9,5.9,2/2/14 18:00
2/2/14 19:00,2/2/14 19:00,3.5,5,2/2/14 19:00
2/2/14 20:00,2/2/14 20:00,4.4,4.9,2/2/14 20:00
2/2/14 21:00,2/2/14 21:00,2.5,4.9,2/2/14 21:00
2/2/14 22:00,2/2/14 22:00,2.3,4.9,2/2/14 22:00
2/2/14 23:00,2/2/14 23:00,3.2,5,2/2/14 23:00
2/3/14 0:00,2/3/14 0:00,2.2,5,2/3/14 0:00
2/3/14 1:00,2/3/14 1:00,2.4,4.8,2/3/14 1:00
2/3/14 2:00,2/3/14 2:00,3,5,2/3/14 2:00
2/3/14 3:00,2/3/14 3:00,1.1,5.1,2/3/14 3:00
2/3/14 4:00,2/3/14 4:00,2.7,5.2,2/3/14 4:00
2/3/14 5:00,2/3/14 5:00,1.7,5.5,2/3/14 5:00
2/3/14 6:00,2/3/14 6:00,2.5,6.4,2/3/14 6:00
2/3/14 7:00,2/3/14 7:00,1.6,5.9,2/3/14 7:00
2/3/14 8:00,2/3/14 8:00,2.9,5.6,2/3/14 8:00
2/3/14 9:00,2/3/14 9:00,1.3,5.4,2/3/14 9:00
2/3/14 10:00,2/3/14 10:00,1.8,6.1,2/3/14 10:00
2/3/14 11:00,2/3/14 11:00,3,6.1,2/3/14 11:00
2/3/14 12:00,2/3/14 12:00,1.4,5.9,2/3/14 12:00
2/3/14 13:00,2/3/14 13:00,2.5,6.2,2/3/14 13:00
2/3/14 14:00,2/3/14 14:00,2,6,2/3/14 14:00
2/3/14 15:00,2/3/14 15:00,0.7,5.6,2/3/14 15:00
2/3/14 16:00,2/3/14 16:00,2.3,5.4,2/3/14 16:00
2/3/14 17:00,2/3/14 17:00,1.8,5.3,2/3/14 17:00
2/3/14 18:00,2/3/14 18:00,2.5,5.5,2/3/14 18:00
2/3/14 19:00,2/3/14 19:00,2.5,5.3,2/3/14 19:00
